"","name","character_name","type","filename","likelyGender","firstName","lastName","raceEthnicity"
"141","Bradley Cooper","Chris Kyle","Leading Cast","2014_0_American Sniper.csv","male","Bradley","Cooper","W_NL"
"142","Sienna Miller","Taya","Leading Cast","2014_0_American Sniper.csv","female","Sienna","Miller","W_NL"
"143","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","Jennifer","Lawrence","W_NL"
"144","Chris Pratt","Peter Quill","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Chris","Pratt","W_NL"
"145","Zoe Saldana","Gamora","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","female","Zoe","Saldana","HL"
"146","Dave Bautista","Drax","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Dave","Bautista","HL"
"147","Vin Diesel","Groot","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Vin","Diesel","W_NL"
"148","Bradley Cooper","Rocket","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Bradley","Cooper","W_NL"
"149","Chris Evans","Captain America/Steve Rogers","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Chris","Evans","B_NL"
"150","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","female","Scarlett","Johansson","W_NL"
"151","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Sebastian","Stan","W_NL"
"152","Robert Redford","Agent Alexander Pierce","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Robert","Redford","W_NL"
"153","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Samuel","L. Jackson","B_NL"
"154","Chris Pratt","Emmet","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Chris","Pratt","W_NL"
"155","Will Ferrell","President Business","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Will","Ferrell","B_NL"
"156","Elizabeth Banks","Wyldstyle/Lucy","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Elizabeth","Banks","B_NL"
"157","Will Arnett","Batman","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Will","Arnett","W_NL"
"158","Alison Brie","Uni-Kitty","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Alison","Brie","W_NL"
"159","Charlie Day","Spaceman Benny","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Charlie","Day","B_NL"
"160","Morgan Freeman","Vitruvius","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Morgan","Freeman","W_NL"
"161","Jonah Hill","Green Lantern","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Jonah","Hill","B_NL"
"162","Channing Tatum","Superman","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Channing","Tatum","B_NL"
"163","Cobie Smulders","Wonder Woman","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Cobie","Smulders","W_NL"
"164","Martin Freeman","Bilbo","Leading Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","Martin","Freeman","W_NL"
"165","Mark Wahlberg","Cade Yeager","Leading Cast","2014_6_Transformers_ Age of Extinction.csv","male","Mark","Wahlberg","W_NL"
"166","Nicola Peltz","Tessa Yeager","Leading Cast","2014_6_Transformers_ Age of Extinction.csv","female","Nicola","Peltz","W_NL"
"167","Jack Reynor","Shane Dyson","Leading Cast","2014_6_Transformers_ Age of Extinction.csv","male","Jack","Reynor","W_NL"
"168","Angelina Jolie","Maleficent","Leading Cast","2014_7_Maleficent.csv","female","Angelina","Jolie","B_NL"
"169","Hugh Jackman","Logan / Wolverine","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male","Hugh","Jackman","W_NL"
"170","James McAvoy","Charles Xavier / Professor X","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male","James","McAvoy","W_NL"
"171","Michael Fassbender","Erik Lehnsherr / Magneto","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male","Michael","Fassbender","W_NL"
"172","Patrick Stewart","Charles Xavier / Professor X","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male","Patrick","Stewart","B_NL"
"173","Jennifer Lawrence","Raven Darkhölme / Mystique","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","female","Jennifer","Lawrence","W_NL"
"174","Ian McKellen","Erik Lehnsherr / Magneto","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male","Ian","McKellen","W_NL"
"175","Scott Adsit","Baymax","Leading Cast","2014_9_Big Hero 6.csv","male","Scott","Adsit","W_NL"
"176","Ryan Potter","Hiro","Leading Cast","2014_9_Big Hero 6.csv","male","Ryan","Potter","W_NL"
"177","Adam Driver","Kylo Ren","Leading Cast","2015_0_Star Wars Ep. VII_ The Force Awakens.csv","male","Adam","Driver","W_NL"
"178","Daisy Ridley","Rey","Leading Cast","2015_0_Star Wars Ep. VII_ The Force Awakens.csv","female","Daisy","Ridley","B_NL"
"179","John Boyega","Finn","Leading Cast","2015_0_Star Wars Ep. VII_ The Force Awakens.csv","male","John","Boyega","B_NL"
"180","Chris Pratt","Owen Grady","Leading Cast","2015_1_Jurassic World.csv","male","Chris","Pratt","W_NL"
"181","James Spader","Ultron","Leading Cast","2015_2_Avengers_ Age of Ultron.csv","male","James","Spader","W_NL"
"182","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Robert","Downey","W_NL"
"183","Chris Hemsworth","Thor","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Chris","Hemsworth","W_NL"
"184","Mark Ruffalo","Bruce Banner / The Hulk","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Mark","Ruffalo","W_NL"
"185","Chris Evans","Steve Rogers / Captain America","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Chris","Evans","B_NL"
"186","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","female","Scarlett","Johansson","W_NL"
"187","Jeremy Renner","Clint Barton/Hawkeye","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Jeremy","Renner","W_NL"
"188","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Samuel","L. Jackson","B_NL"
"189","Aaron Taylor-Johnson","Quicksilver","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male","Aaron","Taylor-Johnson","B_NL"
"190","Elizabeth Olsen","Scarlet Witch","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","female","Elizabeth","Olsen","W_NL"
"191","Amy Poehler","Joy","Lead Ensemble Members","2015_3_Inside Out.csv","female","Amy","Poehler","W_NL"
"192","Phyllis Smith","Sadness","Lead Ensemble Members","2015_3_Inside Out.csv","female","Phyllis","Smith","B_NL"
"193","Bill Hader","Fear","Lead Ensemble Members","2015_3_Inside Out.csv","male","Bill","Hader","W_NL"
"194","Lewis Black","Anger","Lead Ensemble Members","2015_3_Inside Out.csv","male","Lewis","Black","B_NL"
"195","Mindy Kaling","Disgust","Lead Ensemble Members","2015_3_Inside Out.csv","female","Mindy","Kaling","B_NL"
"196","Vin Diesel","Dominic Toretto","Leading Cast","2015_4_Furious 7.csv","male","Vin","Diesel","W_NL"
"197","Paul Walker","Brian O'Conner","Leading Cast","2015_4_Furious 7.csv","male","Paul","Walker","B_NL"
"198","Steve Carell","Young Gru","Leading Cast","2015_5_Minions.csv","male","Steve","Carell","W_NL"
"199","Sandra Bullock","Scarlet Overkill","Leading Cast","2015_5_Minions.csv","female","Sandra","Bullock","W_NL"
"200","Jon Hamm","Herb Overkill","Leading Cast","2015_5_Minions.csv","male","Jon","Hamm","W_NL"
"201","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2015_6_The Hunger Games_ Mockingjay - Part 2.csv","female","Jennifer","Lawrence","W_NL"
"202","Matt Damon","Mark Watney","Leading Cast","2015_7_The Martian.csv","male","Matt","Damon","W_NL"
"203","Lily James","Ella","Leading Cast","2015_8_Cinderella.csv","female","Lily","James","B_NL"
"204","Daniel Craig","James Bond","Leading Cast","2015_9_Spectre.csv","male","Daniel","Craig","W_NL"
"205","Felicity Jones","Jyn Erso","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","female","Felicity","Jones","B_NL"
"206","Diego Luna","Captain Cassian Andor","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male","Diego","Luna","HL"
"207","Ben Mendelsohn","Director Orson Krennic","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male","Ben","Mendelsohn","W_NL"
"208","Donnie Yen","Chirrut Imwe","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","female","Donnie","Yen","A"
"209","Mads Mikkelsen","Galen Erso","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male","Mads","Mikkelsen","W_NL"
