"","name","character_name","type","filename","likelyGender"
"36","Kristen Stewart","Bella Swan","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","female"
"37","Robert Pattinson","Edward Cullen","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","male"
"38","Taylor Lautner","Jacob Black","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","female"
"39","Bradley Cooper","Phil","Leading Cast","2011_3_The Hangover Part II.csv","male"
"40","Ed Helms","Stu","Leading Cast","2011_3_The Hangover Part II.csv","male"
"41","Zach Galifianakis","Alan","Leading Cast","2011_3_The Hangover Part II.csv","male"
"42","Justin Bartha","Doug","Leading Cast","2011_3_The Hangover Part II.csv","male"
"43","Johnny Depp","Captain Jack Sparrow","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male"
"44","Penélope Cruz","Angelica","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","female"
"45","Geoffrey Rush","Barbossa","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male"
"46","Ian McShane","Blackbeard","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male"
"47","Vin Diesel","Dominic Toretto","Leading Cast","2011_5_Fast Five.csv","male"
"48","Paul Walker","Brian O'Conner","Leading Cast","2011_5_Fast Five.csv","male"
"49","Dwayne Johnson","Hobbs","Leading Cast","2011_5_Fast Five.csv","male"
"50","Tom Cruise","Ethan Hunt","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"51","Paula Patton","Agent Jane Carter","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","female"
"52","Simon Pegg","Benju Dunn","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"53","Jeremy Renner","Agent William Brandt","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"54","Michael Nyqvist","Kurt Hendricks","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"55","Lea Seydoux","Sabine Moreau","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","female"
"56","Josh Holloway","Trevor Hanaway","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"57","Anil Kapoor","Indian Communication Magnate","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"58","Vladimir Mashkov","Anatoly Sidirov","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"59","Tom Wilkinson","IMF secretary","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"60","Dan Whitney","Mater","Leading Cast","2011_7_Cars 2.csv","male"
"61","Owen Wilson","Lightning McQueen","Leading Cast","2011_7_Cars 2.csv","male"
"62","Michael Caine","Finn McMissle","Leading Cast","2011_7_Cars 2.csv","male"
"63","Emily Mortimer","Holley Shiftwell","Leading Cast","2011_7_Cars 2.csv","female"
"64","Robert Downey, Jr.","Sherlock Holmes","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male"
"65","Jude Law","Dr. John Watson","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male"
"66","Noomi Rapace","Madam Simza Heron","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","female"
"67","Rachel McAdams","Irene Adler","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","female"
"68","Jared Harris","Professor James Moriarty","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male"
"69","Chris Hemsworth","Thor","Lead Ensemble Members","2011_9_Thor.csv","male"
"70","Natalie Portman","Jane Foster","Lead Ensemble Members","2011_9_Thor.csv","female"
