"","name","character_name","type","filename","likelyGender"
"273","Oscar Isaac","Poe Dameron","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male"
"274","Domhnall Gleeson","General Hux","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male"
"275","Anthony Daniels","C-3PO","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male"
"276","Gwendoline Christie","Captain Phasma","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","female"
"277","Kelly Marie Tran","Rose Tico","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","female"
"278","Benicio del Toro","DJ","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male"
"279","Emma Watson","Belle","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female"
"280","Dan Stevens","Beast / Prince","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"281","Luke Evans","Gaston","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"282","Kevin Kline","Maurice","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"283","Josh Gad","Le Fou","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"284","Ewan McGregor","Lumiere","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"285","Stanley Tucci","Cadenza","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"286","Audra McDonald","Madame De Garderobe","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female"
"287","Gugu Mbatha-Raw","Plumette","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female"
"288","Ian McKellen","Cogsworth","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male"
"289","Emma Thompson","Mrs. Potts","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female"
"290","Gal Gadot","Diana/Wonder Woman","Leading Cast","2017_2_Wonder Woman.csv","male"
"291","Chris Pine","Steve Trevor","Leading Cast","2017_2_Wonder Woman.csv","male"
"292","Dwayne Johnson","Dr. Smolder Bravestone/Spencer's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male"
"293","Jack Black","Professor Sheldon ""Shelly"" Oberon/Bethany's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male"
"294","Kevin Hart","Franklin ""Moose"" Finbar/Fridge's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male"
"295","Karen Gillan","Ruby Roundhouse/Martha's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","female"
"296","Nick Jonas","Jefferson ""Seaplane"" McDonough/Avatar of Alex Vreeke","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male"
"297","Chris Pratt","Peter Quill/Star-Lord","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"298","Zoe Saldana","Gamora","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","female"
"299","Dave Bautista","Drax the Destroyer","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"300","Vin Diesel","Baby Groot","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"301","Bradley Cooper","Rocket","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"302","Michael Rooker","Yondu Udonta","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"303","Kurt Russell","Ego","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"304","Karen Gillan","Nebula","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","female"
"305","Pom Klementieff","Mantis","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male"
"306","Elizabeth Debicki","Ayesha","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","female"
"307","Tom Holland","Peter Parker / Spider-Man","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male"
"308","Michael Keaton","Adrian Toomes/Vulture","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male"
"309","Zendaya","Michelle","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","female"
"310","Jon Favreau","Happy Hogan","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male"
"311","Marisa Tomei","Aunt May","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","female"
"312","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male"
"313","Jaeden Lieberher","Bill Denbrough","Leading Cast","2017_6_It.csv","male"
"314","Bill Skarsgård","Pennywise","Leading Cast","2017_6_It.csv","male"
"315","Chris Hemsworth","Thor","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"316","Tom Hiddleston","Loki","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"317","Cate Blanchett","Hela","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","female"
"318","Idris Elba","Heimdall","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"319","Jeff Goldblum","Grandmaster","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"320","Tessa Thompson","Valkyrie","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","female"
"321","Karl Urban","Skurge","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"322","Mark Ruffalo","Bruce Banner/Hulk","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"323","Anthony Hopkins","Odin","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male"
"324","Steve Carell","Gru / Dru","Leading Cast","2017_8_Despicable Me 3.csv","male"
"325","Kristen Wiig","Lucy Wilde","Leading Cast","2017_8_Despicable Me 3.csv","female"
"326","Trey Parker","Balthazar Bratt","Leading Cast","2017_8_Despicable Me 3.csv","male"
"327","Ben Affleck","Bruce Wayne / Batman","Lead Ensemble Members","2017_9_Justice League.csv","male"
"328","Henry Cavill","Kal-El / Clark Kent / Superman","Lead Ensemble Members","2017_9_Justice League.csv","male"
"329","Gal Gadot","Diana Prince / Wonder Woman","Lead Ensemble Members","2017_9_Justice League.csv","male"
"330","Jason Momoa","Aquaman","Lead Ensemble Members","2017_9_Justice League.csv","male"
"331","Ezra Miller","Barry Allen / Flash","Lead Ensemble Members","2017_9_Justice League.csv","male"
"332","Ray Fisher","Victor Stone / Cyborg","Lead Ensemble Members","2017_9_Justice League.csv","male"
"333","Chadwick Boseman","T’Challa/Black Panther","Lead Ensemble Members","2018_0_Black Panther.csv","male"
"334","Michael B. Jordan","Erik Killmonger","Lead Ensemble Members","2018_0_Black Panther.csv","male"
"335","Lupita Nyong'o","Nakia","Lead Ensemble Members","2018_0_Black Panther.csv","female"
"336","Danai Gurira","Okoye","Lead Ensemble Members","2018_0_Black Panther.csv","female"
"337","Martin Freeman","Everett K. Ross","Lead Ensemble Members","2018_0_Black Panther.csv","male"
"338","Angela Bassett","Ramonda","Lead Ensemble Members","2018_0_Black Panther.csv","female"
"339","Forest Whitaker","Zuri","Lead Ensemble Members","2018_0_Black Panther.csv","male"
"340","Andy Serkis","Ulysses Klaue","Lead Ensemble Members","2018_0_Black Panther.csv","male"
"341","Daniel Kaluuya","W’Kabi","Lead Ensemble Members","2018_0_Black Panther.csv","male"
"342","Letitia Wright","Shuri","Lead Ensemble Members","2018_0_Black Panther.csv","female"
"343","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"344","Chris Hemsworth","Thor","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"345","Mark Ruffalo","Bruce Banner/Hulk","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"346","Chris Evans","Steve Rogers","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"347","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female"
"348","Benedict Cumberbatch","Stephen Strange","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"349","Don Cheadle","James Rhodes / War Machine","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"350","Tom Holland","Peter Parker/Spider-Man","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"351","Chadwick Boseman","T'Challa / Black Panther","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"352","Paul Bettany","Vision","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"353","Elizabeth Olsen","Wanda Maximoff/Scarlet Witch","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female"
"354","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"355","Danai Gurira","Okoye","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female"
"356","Letitia Wright","Shuri","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female"
"357","Dave Bautista","Drax the Destroyer","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"358","Zoe Saldana","Gamora","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female"
"359","Josh Brolin","Thanos","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"360","Chris Pratt","Peter Quill/Star-Lord","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"361","Benedict Wong","Wong","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"362","Pom Klementieff","Mantis","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"363","Karen Gillan","Nebula","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female"
"364","Vin Diesel","Groot","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"365","Bradley Cooper","Rocket Raccoon","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male"
"366","Craig T. Nelson","Bob Parr / Mr. Incredible","Lead Ensemble Members","2018_2_Incredibles 2.csv","male"
"367","Holly Hunter","Helen Parr / Elastigirl","Lead Ensemble Members","2018_2_Incredibles 2.csv","female"
"368","Sarah Vowell","Violet Parr","Lead Ensemble Members","2018_2_Incredibles 2.csv","female"
"369","Huckleberry Milner","Dashiell “Dash” Robert Parr","Lead Ensemble Members","2018_2_Incredibles 2.csv","male"
"370","Samuel L. Jackson","Lucius Best / Frozone","Lead Ensemble Members","2018_2_Incredibles 2.csv","male"
"371","Chris Pratt","Owen Grady","Leading Cast","2018_3_Jurassic World_ Fallen Kingdom.csv","male"
"372","Bryce Dallas Howard","Claire Dearing","Leading Cast","2018_3_Jurassic World_ Fallen Kingdom.csv","male"
"373","Jason Momoa","Arthur Curry/Aquaman","Lead Ensemble Members","2018_4_Aquaman.csv","male"
"374","Amber Heard","Mera","Lead Ensemble Members","2018_4_Aquaman.csv","female"
"375","Willem Dafoe","Dr. Nuidis Vulko","Lead Ensemble Members","2018_4_Aquaman.csv","male"
"376","Patrick Wilson","Orm Marius / Ocean Master","Lead Ensemble Members","2018_4_Aquaman.csv","male"
"377","Nicole Kidman","Atlanna","Lead Ensemble Members","2018_4_Aquaman.csv","female"
"378","Dolph Lundgren","Nereus","Lead Ensemble Members","2018_4_Aquaman.csv","male"
"379","Yahya Abdul-Mateen II","David Hyde / Black Manta","Lead Ensemble Members","2018_4_Aquaman.csv","male"
"380","Ryan Reynolds","Wade Wilson / Deadpool","Lead Ensemble Members","2018_5_Deadpool 2.csv","male"
"381","Josh Brolin","Nathan Summers/Cable","Lead Ensemble Members","2018_5_Deadpool 2.csv","male"
"382","Morena Baccarin","Vanessa","Lead Ensemble Members","2018_5_Deadpool 2.csv","female"
"383","T.J. Miller","Weasel","Lead Ensemble Members","2018_5_Deadpool 2.csv","male"
"384","Leslie Uggams","Blind Al","Lead Ensemble Members","2018_5_Deadpool 2.csv","female"
"385","Brianna Hildebrand","Negasonic Teenage Warhead","Lead Ensemble Members","2018_5_Deadpool 2.csv","female"
"386","Stefan Kapicic","Colossus","Lead Ensemble Members","2018_5_Deadpool 2.csv","male"
"387","Zazie Beetz","Neena Thurman/Domino","Lead Ensemble Members","2018_5_Deadpool 2.csv","female"
"388","Karan Soni","Dopinder","Lead Ensemble Members","2018_5_Deadpool 2.csv","male"
"389","Benedict Cumberbatch","Grinch","Leading Cast","2018_6_Dr. Seuss’ The Grinch.csv","male"
"390","Tom Cruise","Ethan Hunt","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male"
"391","Henry Cavill","August Walker","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male"
"392","Ving Rhames","Luther Stickell","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male"
"393","Simon Pegg","Benjamin “Benji” Dunn","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male"
"394","Rebecca Ferguson","Ilsa Faust","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","female"
"395","Sean Harris","Solomon Lane","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male"
"396","Angela Bassett","Erica Sloan","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","female"
"397","Michelle Monaghan","Julia Meade-Hunt","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","female"
"398","Alec Baldwin","Secretary Alan Hunley","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male"
"399","Paul Rudd","Scott Lang/Ant-Man","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male"
"400","Evangeline Lilly","Hope van Dyne/The Wasp","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female"
"401","Michael Peña","Luis","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male"
"402","Walton Goggins","Sonny Burch","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male"
"403","Hannah John-Kamen","Ava Starr/Ghost","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female"
"404","Michelle Pfeiffer","Janet van Dyne","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female"
"405","Laurence Fishburne","Dr. Bill Foster/Goliath","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female"
"406","Michael Douglas","Dr. Hank Pym","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male"
"407","Rami Malek","Freddie Mercury","Leading Cast","2018_9_Bohemian Rhapsody.csv","male"
"408","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"409","Chris Evans","Steve Rogers/Captain America","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"410","Mark Ruffalo","Bruce Banner/Hulk","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"411","Chris Hemsworth","Thor","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"412","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"413","Jeremy Renner","Clint Barton/Hawkeye","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"414","Don Cheadle","James “Rhodey” Rhodes/War Machine","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"415","Paul Rudd","Scott Lang/Ant-Man","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"416","Brie Larson","Carol Danvers/Captain Marvel","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"417","Karen Gillan","Nebula","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"418","Danai Gurira","Okoye","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"419","Bradley Cooper","Rocket","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"420","Josh Brolin","Thanos","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"421","Benedict Wong","Wong","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"422","Jon Favreau","Happy Hogan","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"423","Gwyneth Paltrow","Pepper Potts","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"424","Evangeline Lilly","Hope van Dyne/The Wasp","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"425","Benedict Cumberbatch","Dr. Stephen Strange","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"426","Tom Holland","Peter Parker/Spider-Man","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"427","Chris Pratt","Peter Quill/Star-Lord","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"428","Dave Bautista","Drax the Destroyer","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"429","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"430","Terry Notary","Groot","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"431","Anthony Mackie","Sam Wilson/Falcon","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"432","Tom Hiddleston","Loki","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"433","Letitia Wright","Shuri","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"434","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"435","Pom Klementieff","Mantis","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"436","Paul Bettany","Vision","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"437","Elizabeth Olsen","Wanda Maximoff/Scarlet Witch","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"438","Zoe Saldana","Gamora","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female"
"439","Chadwick Boseman","T’Challa/Black Panther","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male"
"440","Donald Glover","Simba","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"441","Beyoncé Knowles","Nala","Lead Ensemble Members","2019_1_The Lion King.csv","female"
"442","James Earl Jones","Mufasa","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"443","Chiwetel Ejiofor","Scar","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"444","Billy Eichner","Timon","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"445","Seth Rogen","Pumbaa","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"446","John Oliver","Zazu","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"447","Keegan-Michael Key","Kamari","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"448","John Kani","Rafiki","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"449","Alfre Woodard","Sarabi","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"450","Eric Andre","Azizi","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"451","Florence Kasumba","Shenzi","Lead Ensemble Members","2019_1_The Lion King.csv","female"
"452","JD McCrary","Young Simba","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"453","Shahadi Wright Joseph","Young Nala","Lead Ensemble Members","2019_1_The Lion King.csv","male"
"454","Mark Hamill","Luke Skywalker","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"455","Adam Driver","Kylo Ren","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"456","Daisy Ridley","Rey","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","female"
"457","John Boyega","Finn","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"458","Oscar Isaac","Poe Dameron","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"459","Lupita Nyong'o","Maz Kanata","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","female"
"460","Keri Russell","Zorii Bliss","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","female"
"461","Joonas Suotamo","Chewbacca","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"462","Anthony Daniels","C-3PO","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"463","Jimmy Vee","R2-D2","Lead Ensemble Members","2019_2_Star Wars_ The Rise of Skywalker.csv","male"
"464","Kristen Bell","Anna","Leading Cast","2019_3_Frozen II.csv","female"
"465","Idina Menzel","Elsa","Leading Cast","2019_3_Frozen II.csv","female"
"466","Josh Gad","Olaf","Leading Cast","2019_3_Frozen II.csv","male"
"467","Tom Hanks","Woody","Lead Ensemble Members","2019_4_Toy Story 4.csv","male"
"468","Tim Allen","Buzz Lightyear","Lead Ensemble Members","2019_4_Toy Story 4.csv","male"
"469","Annie Potts","Bo Peep","Lead Ensemble Members","2019_4_Toy Story 4.csv","female"
"470","Tony Hale","Forky","Lead Ensemble Members","2019_4_Toy Story 4.csv","male"
"471","Keegan-Michael Key","Ducky","Lead Ensemble Members","2019_4_Toy Story 4.csv","male"
"472","Jordan Peele","Bunny","Lead Ensemble Members","2019_4_Toy Story 4.csv","male"
"473","Christina Hendricks","Gabby Gabby","Lead Ensemble Members","2019_4_Toy Story 4.csv","female"
"474","Brie Larson","Carol Danvers/Vers/Captain Marvel","Lead Ensemble Members","2019_5_Captain Marvel.csv","female"
"475","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2019_5_Captain Marvel.csv","male"
"476","Ben Mendelsohn","Talos/Keller","Lead Ensemble Members","2019_5_Captain Marvel.csv","male"
"477","Djimon Hounsou","Korath the Pursuer","Lead Ensemble Members","2019_5_Captain Marvel.csv","male"
"478","Lee Pace","Ronan the Accuser","Lead Ensemble Members","2019_5_Captain Marvel.csv","female"
"479","Lashana Lynch","Maria Rambeau","Lead Ensemble Members","2019_5_Captain Marvel.csv","female"
"480","Gemma Chan","Minn-Erva","Lead Ensemble Members","2019_5_Captain Marvel.csv","female"
"481","Annette Bening","Supreme Intelligence","Lead Ensemble Members","2019_5_Captain Marvel.csv","female"
"482","Clark Gregg","Agent Phil Coulson","Lead Ensemble Members","2019_5_Captain Marvel.csv","male"
"483","Tom Holland","Peter Parker/Spider-Man","Leading Cast","2019_6_Spider-Man_ Far From Home.csv","male"
"484","Samuel L. Jackson","Nick Fury","Leading Cast","2019_6_Spider-Man_ Far From Home.csv","male"
"485","Zendaya","Michelle “MJ” Jones","Leading Cast","2019_6_Spider-Man_ Far From Home.csv","female"
"486","Jake Gyllenhaal","Quentin Beck/Mysterio","Leading Cast","2019_6_Spider-Man_ Far From Home.csv","male"
"487","Mena Massoud","Aladdin","Lead Ensemble Members","2019_7_Aladdin.csv","female"
"488","Naomi Scott","Jasmine","Lead Ensemble Members","2019_7_Aladdin.csv","female"
"489","Will Smith","Genie","Lead Ensemble Members","2019_7_Aladdin.csv","male"
"490","Marwan Kenzari","Jafar","Lead Ensemble Members","2019_7_Aladdin.csv","male"
"491","Navid Negahban","Sultan","Lead Ensemble Members","2019_7_Aladdin.csv","male"
"492","Joaquin Phoenix","Arthur Fleck/Joker","Leading Cast","2019_8_Joker.csv","male"
"493","Dwayne Johnson","Bravestone","Lead Ensemble Members","2019_9_Jumanji_ The Next Level.csv","male"
"494","Karen Gillan","Ruby","Lead Ensemble Members","2019_9_Jumanji_ The Next Level.csv","female"
"495","Jack Black","Oberon","Lead Ensemble Members","2019_9_Jumanji_ The Next Level.csv","male"
"496","Kevin Hart","Mouse","Lead Ensemble Members","2019_9_Jumanji_ The Next Level.csv","male"
"497","Nick Jonas","Seaplane","Lead Ensemble Members","2019_9_Jumanji_ The Next Level.csv","male"
"498","Awkwafina","Ming","Lead Ensemble Members","2019_9_Jumanji_ The Next Level.csv","female"
"499","Will Smith","Detective Mike Lowrey","Leading Cast","2020_0_Bad Boys For Life.csv","male"
"500","Martin Lawrence","Detective Marcus Burnett","Leading Cast","2020_0_Bad Boys For Life.csv","male"
"501","Ben Schwartz","Sonic the Hedgehog","Leading Cast","2020_1_Sonic The Hedgehog.csv","male"
"502","Jim Carrey","Dr. Ivo Robotnik","Leading Cast","2020_1_Sonic The Hedgehog.csv","male"
"503","Margot Robbie","Harley Quinn","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","female"
"504","Mary Elizabeth Winstead","Helena Bertinelli/Huntress","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","female"
"505","Jurnee Smollett","Dinah Lance/Black Canary","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","female"
"506","Rosie Perez","Renee Montoya","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","female"
"507","Chris Messina","Victor Zsasz","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","male"
"508","Ella Jay Basco","Cassandra Cain","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","female"
"509","Ali Wong","Ellen Yee","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","male"
"510","Ewan McGregor","Roman Sionis","Lead Ensemble Members","2020_2_Birds of Prey (And the Fantabulous Emancipation….csv","male"
"511","Robert Downey, Jr.","Doctor John Dolittle","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"512","Emma Thompson","Polynesia","Lead Ensemble Members","2020_3_Dolittle.csv","female"
"513","Rami Malek","Chee-Chee","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"514","John Cena","Yoshi","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"515","Kumail Nanjiani","Plimpton","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"516","Octavia Spencer","Dab-Dab","Lead Ensemble Members","2020_3_Dolittle.csv","female"
"517","Tom Holland","Jip","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"518","Craig Robinson","Kevin","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"519","Ralph Fiennes","Barry","Lead Ensemble Members","2020_3_Dolittle.csv","male"
"520","Selena Gomez","Betsy","Lead Ensemble Members","2020_3_Dolittle.csv","female"
"521","Marion Cotillard","Tutu","Lead Ensemble Members","2020_3_Dolittle.csv","female"
"522","Elisabeth Moss","Cecilia Kass","Leading Cast","2020_4_The Invisible Man.csv","female"
"523","Oliver Jackson-Cohen","Adrian Griffin","Leading Cast","2020_4_The Invisible Man.csv","male"
"524","Harrison Ford","John Thornton","Leading Cast","2020_5_The Call of the Wild.csv","male"
"525","Chris Pratt","Barley Lightfoot","Lead Ensemble Members","2020_6_Onward.csv","male"
"526","Tom Holland","Ian Lightfoot","Lead Ensemble Members","2020_6_Onward.csv","male"
"527","Julia Louis-Dreyfus","Laurel Lightfoot","Lead Ensemble Members","2020_6_Onward.csv","female"
"528","Octavia Spencer","Corey","Lead Ensemble Members","2020_6_Onward.csv","female"
"529","Lena Waithe","Specter","Lead Ensemble Members","2020_6_Onward.csv","female"
"530","Ali Wong","Gore","Lead Ensemble Members","2020_6_Onward.csv","male"
"531","Mel Rodriguez","Colt Bronco","Lead Ensemble Members","2020_6_Onward.csv","female"
"532","Nicolas Cage","Grug","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","male"
"533","Emma Stone","Eep","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","female"
"534","Ryan Reynolds","Guy","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","male"
"535","Catherine Keener","Ugga","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","female"
